"","x"
"1","ENSG00000124205.18"
"2","ENSG00000117322.18"
"3","ENSG00000125879.5"
"4","ENSG00000118733.17"
"5","ENSG00000181092.10"
"6","ENSG00000211650.2"
"7","ENSG00000104921.15"
"8","ENSG00000178343.5"
"9","ENSG00000133636.11"
"10","ENSG00000251039.2"
"11","ENSG00000156738.18"
"12","ENSG00000244575.3"
"13","ENSG00000196092.14"
"14","ENSG00000225523.2"
"15","ENSG00000164616.16"
"16","ENSG00000282122.1"
"17","ENSG00000251273.4"
"18","ENSG00000188848.16"
"19","ENSG00000243264.2"
"20","ENSG00000162897.16"
